name,entropy,grad_energy,psnr
f001990,7.212452755775895,7.746809665231907,36.19409942626953
f001995,7.233168894712905,9.539359445232195,36.61122512817383
f002000,7.234163801180702,7.885983627311925,36.72556686401367
f002005,7.289275887923312,7.808109924962126,37.52416229248047
f002010,7.35970723168146,9.433891589119249,37.08915328979492
f002015,7.3889751594890125,8.18925798181609,37.149112701416016
f002020,7.423908962774,8.191224868962642,36.584964752197266
f002025,7.490176885788319,9.453949953456698,37.235076904296875
f002030,7.527884193872133,8.83552008198175,35.194705963134766
f002035,7.556541474770118,8.751735875598351,37.54273223876953
f002040,7.59715181952871,10.177121097966854,36.866973876953125
f002045,7.6093061536582765,9.147540483242947,37.695640563964844
f002050,7.626309385418736,9.217757218046073,37.5640869140625
f002055,7.647849079963873,10.51189874044428,37.319618225097656
f002060,7.651934985992491,9.476394044206385,37.37794494628906
f002065,7.660216855733968,9.38378078343435,37.6740837097168
f002070,7.668980752133892,10.684858353456917,37.002601623535156
f002075,7.658178571798643,9.737328470673138,37.555721282958984
f002080,7.656230896363632,9.778690682641123,36.855674743652344
f002085,7.661733402955595,11.161295162929395,36.95163345336914
f002090,7.65694563587211,10.260050977479299,37.54890060424805
f002095,7.652963933437986,10.221506505670543,37.28208541870117
f002100,7.652819624946655,11.748871666233738,37.15644073486328
f002105,7.6351721782324855,10.59276616206468,36.67207717895508
f002110,7.627393704137619,10.752228295224704,36.379150390625
f002115,7.638990460268767,12.966349467843468,23.537561416625977
f002120,7.6054689620455775,10.964270824365732,36.429840087890625
f002125,7.591538336217641,10.735451083416303,36.40530014038086
f002130,7.57649278391054,12.316242064302909,36.13677978515625
f002135,7.5328416882128595,10.609118548319273,33.78353500366211
f002140,7.539481449201945,10.816441196418834,35.4830322265625
f002145,7.555636249098046,12.71004724167979,35.78600311279297
f002150,7.5557774896683165,11.05899827711949,36.938636779785156
f002155,7.56250921368512,11.288869111337705,37.556968688964844
f002160,7.567227035459082,12.481301492896817,37.0273551940918
f002165,7.5674750716512875,11.420027006871885,37.70806121826172
f002170,7.567876268263005,11.203537846051772,37.34252166748047
f002175,7.575008067272988,12.575500194721887,36.83110046386719
f002180,7.565873622479533,11.203881595730184,36.97051239013672
f002185,7.560224000592418,11.098841857333161,37.452754974365234
f002190,7.563352560938162,12.647431787959484,36.52959442138672
f002195,7.551138251478488,11.130943711710097,38.01841354370117
f002200,7.54499332447908,10.966641301638502,37.708431243896484
f002205,7.544784922641517,12.607001525890182,36.23365783691406
f002210,7.534430484838897,10.871696134456142,35.9620475769043
f002215,7.48262668592389,10.275251665702326,34.991485595703125
f002220,7.431875340948633,13.042240302403837,35.083534240722656
f002225,7.383630482627744,10.147060313845374,36.630882263183594
f002230,7.367732149552984,9.856479384768749,36.76659393310547
f002235,7.397942810150308,12.143410067748535,37.375694274902344
f002240,7.407087883341955,10.705508308657105,37.09934616088867
f002245,7.419058464490901,10.62960603034687,35.632179260253906
