name,split,t_s,sonar_m,pred_m,residual_m,abs_residual_m,psnr_db,render_ms
f001500,train,60.0,1.604,1.5935188971518472,-0.010481102848152846,0.010481102848152846,34.51736068725586,7.607460021972656
f001505,train,60.2,1.633,1.62628050917614,-0.006719490823859919,0.006719490823859919,35.32596206665039,9.515523910522461
f001510,test,60.4,1.661,1.6648680360076713,0.0038680360076712716,0.0038680360076712716,36.03228759765625,10.094881057739258
f001515,train,60.6,1.716,1.7118600226554501,-0.00413997734454985,0.00413997734454985,35.61172866821289,8.031129837036133
f001520,train,60.8,1.768,1.7637521841810038,-0.004247815818996248,0.004247815818996248,36.96651840209961,9.526491165161133
f001525,train,61.0,1.768,1.7574238679812995,-0.010576132018700557,0.010576132018700557,36.74281692504883,9.51838493347168
f001530,train,61.2,1.839,1.8196336538653035,-0.019366346134696455,0.019366346134696455,37.4017219543457,8.522748947143555
f001535,train,61.4,1.975,1.9644879208495112,-0.010512079150488907,0.010512079150488907,37.911903381347656,9.157896041870117
f001540,train,61.6,1.915,1.8928832758944336,-0.02211672410556642,0.02211672410556642,36.576568603515625,9.051322937011719
f001545,train,61.8,1.985,1.9845849159087934,-0.00041508409120671885,0.00041508409120671885,36.00712585449219,9.50312614440918
f001550,test,62.0,1.985,1.9916897702532872,0.006689770253287097,0.006689770253287097,36.105506896972656,8.545398712158203
f001555,train,62.2,2.011,2.0077077482108874,-0.0032922517891127434,0.0032922517891127434,37.178924560546875,8.005857467651367
f001560,train,62.4,2.05,2.039687342486546,-0.010312657513453782,0.010312657513453782,35.41645431518555,9.551048278808594
f001565,train,62.6,2.155,2.1565903068211902,0.0015903068211904348,0.0015903068211904348,38.22737121582031,9.405136108398438
f001570,train,62.8,2.138,2.12031016288843,-0.017689837111569684,0.017689837111569684,38.09521484375,8.516073226928711
f001575,train,63.0,2.138,2.10850756588818,-0.02949243411182012,0.02949243411182012,37.84684371948242,8.543729782104492
f001580,train,63.2,2.183,2.192038646890388,0.009038646890388247,0.009038646890388247,38.413387298583984,8.054733276367188
f001585,train,63.4,2.365,2.3814245583962927,0.016424558396292532,0.016424558396292532,38.400020599365234,9.025096893310547
f001590,test,63.6,2.336,2.4413601521248105,0.10536015212481065,0.10536015212481065,36.74075698852539,8.011579513549805
f001595,train,63.8,2.385,2.4962324353411036,0.11123243534110383,0.11123243534110383,37.17647933959961,8.511543273925781
f001600,train,64.0,2.385,2.386971326527693,0.0019713265276930514,0.0019713265276930514,37.968544006347656,8.513212203979492
f001605,train,64.2,2.47,2.478808704157281,0.008808704157280633,0.008808704157280633,37.600093841552734,8.975982666015625
f001610,train,64.4,2.508,2.50634277411413,-0.0016572258858698063,0.0016572258858698063,37.426177978515625,9.022235870361328
f001615,train,64.6,2.603,2.6173996273873663,0.01439962738736611,0.01439962738736611,38.120853424072266,9.190559387207031
f001620,train,64.8,2.673,2.728378357165794,0.05537835716579398,0.05537835716579398,37.017356872558594,8.538007736206055
f001625,train,65.0,2.673,2.6722737893249775,-0.0007262106750225428,0.0007262106750225428,37.864871978759766,9.516000747680664
f001630,test,65.2,2.719,2.7617359935282346,0.04273599352823476,0.04273599352823476,37.65810012817383,9.061813354492188
